id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.580759918316196,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.4638,0.1169,0.5808,1.2784,0.3023,0.1169,0.4192,0.9554,0.989,0.5865,0.3322,0.1835,0.1128,0.8748,0.377,0.1602,0.0696,0.03441924008168381,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.580759918316196,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.4638,0.1169,0.5808,1.2784,0.3023,0.1169,0.4192,0.9554,0.989,0.5865,0.3322,0.1835,0.1128,0.8748,0.377,0.1602,0.0696,0.03441924008168381,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.580759918316196,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.4638,0.1169,0.5808,1.2784,0.3023,0.1169,0.4192,0.9554,0.989,0.5865,0.3322,0.1835,0.1128,0.8748,0.377,0.1602,0.0696,0.03441924008168381,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.580759918316196,0,0,PSTR,Period Start- Local time: 7:08 EST,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.4638,0.1169,0.5808,1.2784,0.3023,0.1169,0.4192,0.9554,0.989,0.5865,0.3322,0.1835,0.1128,0.8748,0.377,0.1602,0.0696,0.03441924008168381,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.580759918316196,0,0,FAC,TOR won Neu. Zone - TOR #91 TAVARES vs NJD #86 HUGHES,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.4638,0.1169,0.5808,1.2784,0.3023,0.1169,0.4192,0.9554,0.989,0.5865,0.3322,0.1835,0.1128,0.8748,0.377,0.1602,0.0696,0.03441924008168381,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.5804917082806837,0,0,TAKE,NJD TAKEAWAY - #22 PESCE  Off. Zone,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.463,0.1175,0.5805,1.2784,0.3021,0.1175,0.4195,0.9565,0.989,0.5865,0.3322,0.1835,0.1128,0.8748,0.3771,0.1602,0.0696,0.03441950829171932,96,-2,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17,0.5801112626284746,0,0,BLOCK,NJD #22 PESCE OPPONENT-BLOCKED BY TOR #8 TANEV  Tip-In  Def. Zone ,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.4619,0.1182,0.5801,1.2784,0.3017,0.1182,0.4199,0.958,0.989,0.5865,0.3322,0.1835,0.1128,0.8748,0.3771,0.1602,0.0696,0.03441988873737153,79,-2,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,96,-2,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,24,0.5798468292325648,0,0,SHOT,NJD ONGOAL - #18 PALAT  Tip-In   Off. Zone  18 ft. ,1.0,0,0,0,0,0.5,0.5,0.0,1.0,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.4611,0.1187,0.5798,1.2784,0.3014,0.1187,0.4202,0.959,0.989,0.5865,0.3322,0.1835,0.1128,0.8749,0.3771,0.1602,0.0696,0.03442015317076744,72,-6,72,-6,-19.44,19.44,0.0,0,18.0,TIP,0,0,0,0,1.1517511068997928,79,-2,8.1,0.0,0.0,BLOCK,HOME,0,0,0,0,0.0590216,L,5,5,0.059,0.0,0.059,0.0,0.0564,0.0,0.059,0.0,0.0564,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0025,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0025,0.0,0.059,0.0,0.0,0.0,0.0023,0.0,0.0023,0.0,1.0,0.0,1.0,0.0,HOME,,3,0.941,0.059,0.0,0.0564,0.0,0.0,0.0,0.059,0.0,1.0,0.0,1.0,0.0,0.5,0.5,L,24,72.0,-6.0,0.0761,0.0441,0.4861,0.3081,0.0265,0.3971,18.028,0.2524,0.0093,0.0683,0.068,0.0,0.068,0.0,0.065,0.0
9,26,0.5797715586574756,0,0,SHOT,NJD ONGOAL - #63 BRATT  Backhand   Off. Zone  10 ft. ,1.0,0,0,0,0,0.5,0.5,0.0,1.0,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.4609,0.1189,0.5798,1.2784,0.3014,0.1189,0.4202,0.9593,0.989,0.5865,0.3322,0.1835,0.1128,0.8749,0.3771,0.1602,0.0696,0.03442022844134252,78,1,78,1,5.1944,5.1944,24.6345,1,11.0,BACK,0,1,12.317231867955499,0,4.6097722286464435,72,-6,9.2,-19.44,18.0,SHOT,HOME,0,0,0,0,0.252425,L,5,5,0.3114,0.0,0.3114,0.0,0.2975,0.0,0.059,0.0,0.0564,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.012,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0023,0.0,0.3114,0.0,0.0,0.0,0.0022,0.0,0.0114,0.0,1.0,0.0,1.0,0.0,HOME,,3,0.7035,0.2965,0.0,0.2832,0.0,0.0,0.0,0.2965,0.0,1.0,0.0,1.0,0.0,0.5,0.5,L,26,78.0,1.0,0.1791,0.088,0.2434,0.2097,0.0274,0.8972,11.045,0.0,0.0198,0.0198,0.088,0.0,0.088,0.0,0.083,0.0
10,29,0.5796588864265508,0,0,STOP,GOALIE STOPPED,1.0,0,0,0,0,0.5,0.5,0.0,1.0,0,Tuesday  December 10  2024,0.4638,0.1169,0.5808,0.3023,0.1169,0.4192,0.4606,0.1191,0.5797,1.2784,0.3013,0.1191,0.4203,0.9598,0.989,0.5865,0.3322,0.1835,0.1129,0.8749,0.3771,0.1602,0.0696,0.034420341113573456,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,78,1,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.3114,0.0,0.3114,0.0,0.2975,0.0,0.059,0.0,0.0564,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0107,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.002,0.0,0.3114,0.0,0.0,0.0,0.0019,0.0,0.0103,0.0,1.0,0.0,1.0,0.0,GOAL,,3,0.7035,0.2965,0.0,0.2832,0.0,0.0,0.0,0.2965,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.088,0.0,0.083,0.0
