id,homeAbbrev,awayAbbrev,est
2024020001,BUF,NJD,2024 October 04 13:00:00
2024020002,NJD,BUF,2024 October 05 10:00:00
2024020003,SEA,STL,2024 October 08 16:30:00
2024020004,FLA,BOS,2024 October 08 19:00:00
2024020005,UTA,CHI,2024 October 08 22:00:00
2024020006,MTL,TOR,2024 October 09 19:00:00
2024020007,PIT,NYR,2024 October 09 19:30:00
2024020008,EDM,WPG,2024 October 09 22:00:00
2024020009,VAN,CGY,2024 October 09 22:00:00
2024020010,VGK,COL,2024 October 09 22:00:00
2024020011,BOS,MTL,2024 October 10 19:00:00
2024020012,BUF,LAK,2024 October 10 19:00:00
2024020013,OTT,FLA,2024 October 10 19:00:00
2024020014,DET,PIT,2024 October 10 20:00:00
2024020015,NJD,TOR,2024 October 10 19:00:00
2024020016,NYI,UTA,2024 October 10 19:30:00
2024020017,NSH,DAL,2024 October 10 20:00:00
2024020018,MIN,CBJ,2024 October 10 20:00:00
2024020019,SJS,STL,2024 October 10 22:30:00
2024020020,CAR,TBL,2024 October 11 19:00:00
2024020021,WPG,CHI,2024 October 11 20:00:00
2024020022,VAN,PHI,2024 October 11 22:00:00
2024020023,VGK,STL,2024 October 11 22:00:00
2024020024,BOS,LAK,2024 October 12 13:00:00
2024020025,BUF,FLA,2024 October 12 19:00:00
2024020026,TOR,PIT,2024 October 12 19:00:00
2024020027,MTL,OTT,2024 October 12 19:00:00
2024020028,DET,NSH,2024 October 12 19:00:00
2024020029,TBL,CAR,2025 January 07 19:00:00
2024020030,NYR,UTA,2024 October 12 19:00:00
2024020031,WSH,NJD,2024 October 12 19:00:00
2024020032,DAL,NYI,2024 October 12 20:00:00
2024020033,MIN,SEA,2024 October 12 20:00:00
2024020034,COL,CBJ,2024 October 12 21:00:00
2024020035,CGY,PHI,2024 October 12 22:00:00
2024020036,EDM,CHI,2024 October 12 22:00:00
2024020037,SJS,ANA,2024 October 12 22:00:00
2024020038,WPG,MIN,2024 October 13 18:00:00
2024020039,DAL,SEA,2024 October 13 20:00:00
2024020040,EDM,CGY,2024 October 13 20:00:00
2024020041,VGK,ANA,2024 October 13 22:00:00
2024020042,BOS,FLA,2024 October 14 13:00:00
2024020043,OTT,LAK,2024 October 14 13:00:00
2024020044,NJD,UTA,2024 October 14 13:00:00
2024020045,NYR,DET,2024 October 14 19:00:00
2024020046,MTL,PIT,2024 October 14 19:30:00
2024020047,COL,NYI,2024 October 14 21:00:00
2024020048,TBL,VAN,2024 October 15 19:00:00
2024020049,WSH,VGK,2024 October 15 19:00:00
2024020050,CAR,NJD,2024 October 15 19:00:00
2024020051,CBJ,FLA,2024 October 15 19:00:00
2024020052,STL,MIN,2024 October 15 19:30:00
2024020053,NSH,SEA,2024 October 15 20:00:00
2024020054,DAL,SJS,2024 October 15 20:00:00
2024020055,CGY,CHI,2024 October 15 21:00:00
2024020056,EDM,PHI,2024 October 15 22:00:00
2024020057,PIT,BUF,2024 October 16 19:00:00
2024020058,TOR,LAK,2024 October 16 19:30:00
2024020059,COL,BOS,2024 October 16 21:30:00
2024020060,ANA,UTA,2024 October 16 22:00:00
2024020061,MTL,LAK,2024 October 17 19:00:00
2024020062,OTT,NJD,2024 October 17 19:00:00
2024020063,DET,NYR,2024 October 17 19:30:00
2024020064,TBL,VGK,2024 October 17 19:00:00
2024020065,FLA,VAN,2024 October 17 19:00:00
2024020066,WSH,DAL,2024 October 17 19:00:00
2024020067,CBJ,BUF,2024 October 17 19:00:00
2024020068,STL,NYI,2024 October 17 20:00:00
2024020069,NSH,EDM,2024 October 17 20:00:00
2024020070,CHI,SJS,2024 October 17 20:30:00
2024020071,SEA,PHI,2024 October 17 22:00:00
2024020072,PIT,CAR,2024 October 18 19:00:00
2024020073,WPG,SJS,2024 October 18 20:00:00
2024020074,COL,ANA,2024 October 18 21:00:00
2024020075,OTT,TBL,2024 October 19 13:00:00
2024020076,NSH,DET,2024 October 19 14:00:00
2024020077,DAL,EDM,2024 October 19 16:00:00
2024020078,FLA,VGK,2024 October 19 18:00:00
2024020079,TOR,NYR,2024 October 19 19:00:00
2024020080,NJD,WSH,2024 October 19 19:00:00
2024020081,NYI,MTL,2024 October 19 19:00:00
2024020082,PHI,VAN,2024 October 19 19:00:00
2024020083,CBJ,MIN,2024 October 19 19:00:00
2024020084,STL,CAR,2024 October 19 19:00:00
2024020085,CHI,BUF,2024 October 19 20:00:00
2024020086,UTA,BOS,2024 October 19 21:00:00
2024020087,SEA,CGY,2024 October 19 22:00:00
2024020088,WPG,PIT,2024 October 20 15:00:00
2024020089,SJS,COL,2024 October 20 20:00:00
2024020090,ANA,LAK,2024 October 20 20:00:00
2024020091,TOR,TBL,2024 October 21 19:30:00
2024020092,PHI,WSH,2024 October 22 18:00:00
2024020093,FLA,MIN,2024 October 22 18:30:00
2024020094,NJD,TBL,2024 October 22 18:45:00
2024020095,BUF,DAL,2024 October 22 19:00:00
2024020096,MTL,NYR,2024 October 22 19:15:00
2024020097,CBJ,TOR,2024 October 22 19:30:00
2024020098,NYI,DET,2024 October 22 19:45:00
2024020099,STL,WPG,2024 October 22 20:00:00
2024020100,CHI,VAN,2024 October 22 20:15:00
2024020101,NSH,BOS,2024 October 22 20:45:00
2024020102,CGY,PIT,2024 October 22 21:30:00
2024020103,EDM,CAR,2024 October 22 21:00:00
2024020104,UTA,OTT,2024 October 22 21:15:00
2024020105,ANA,SJS,2024 October 22 22:15:00
2024020106,SEA,COL,2024 October 22 20:30:00
2024020107,VGK,LAK,2024 October 22 23:00:00
2024020108,WSH,PHI,2024 October 23 19:30:00
2024020109,BOS,DAL,2024 October 24 19:00:00
2024020110,TOR,STL,2024 October 24 19:00:00
2024020111,DET,NJD,2024 October 24 19:00:00
2024020112,TBL,MIN,2024 October 24 19:00:00
2024020113,NYR,FLA,2024 October 24 19:00:00
2024020114,CGY,CAR,2024 October 24 21:00:00
2024020115,UTA,COL,2024 October 24 21:00:00
2024020116,SEA,WPG,2024 October 24 22:00:00
2024020117,LAK,SJS,2024 October 24 22:30:00
2024020118,VGK,OTT,2024 October 25 18:00:00
2024020119,NJD,NYI,2024 October 25 19:00:00
2024020120,CHI,NSH,2024 October 25 20:30:00
2024020121,EDM,PIT,2024 October 25 21:00:00
2024020122,BUF,DET,2024 October 26 13:00:00
2024020123,PHI,MIN,2024 October 26 13:00:00
2024020124,LAK,UTA,2024 October 26 16:00:00
2024020125,BOS,TOR,2024 October 26 19:00:00
2024020126,MTL,STL,2024 October 26 19:00:00
2024020127,TBL,WSH,2024 October 26 19:00:00
2024020128,NYR,ANA,2024 October 26 19:00:00
2024020129,CGY,WPG,2024 October 26 19:00:00
2024020130,NYI,FLA,2024 October 26 19:30:00
2024020131,NSH,CBJ,2024 October 26 20:00:00
2024020132,DAL,CHI,2024 October 26 20:00:00
2024020133,VAN,PIT,2024 October 26 22:00:00
2024020134,VGK,SJS,2024 October 26 22:00:00
2024020135,SEA,CAR,2024 October 26 22:00:00
2024020136,DET,EDM,2024 October 27 18:00:00
2024020137,NJD,ANA,2024 October 27 19:00:00
2024020138,PHI,MTL,2024 October 27 19:00:00
2024020139,COL,OTT,2024 October 27 21:00:00
2024020140,BUF,FLA,2024 October 28 19:00:00
2024020141,TBL,NSH,2024 October 28 19:30:00
2024020142,CBJ,EDM,2024 October 28 19:00:00
2024020143,WPG,TOR,2024 October 28 19:30:00
2024020144,COL,CHI,2024 October 28 21:00:00
2024020145,UTA,SJS,2024 October 28 21:00:00
2024020146,VAN,CAR,2024 October 28 22:00:00
2024020147,VGK,CGY,2024 October 28 22:00:00
2024020148,BOS,PHI,2024 October 29 19:00:00
2024020149,MTL,SEA,2024 October 29 19:00:00
2024020150,OTT,STL,2024 October 29 19:00:00
2024020151,WSH,NYR,2024 October 29 19:30:00
2024020152,NYI,ANA,2024 October 29 19:00:00
2024020153,PIT,MIN,2024 October 29 19:00:00
2024020154,SJS,LAK,2024 October 29 22:00:00
2024020155,CBJ,NYI,2024 October 30 19:00:00
2024020156,DET,WPG,2024 October 30 19:30:00
2024020157,COL,TBL,2024 October 30 21:00:00
2024020158,UTA,CGY,2024 October 30 21:30:00
2024020159,VAN,NJD,2024 October 30 22:30:00
2024020160,LAK,VGK,2024 October 30 22:00:00
2024020161,TOR,SEA,2024 October 31 19:00:00
2024020162,PHI,STL,2024 October 31 19:00:00
2024020163,PIT,ANA,2024 October 31 19:00:00
2024020164,WSH,MTL,2024 October 31 19:00:00
2024020165,CAR,BOS,2024 October 31 19:00:00
2024020166,NSH,EDM,2024 October 31 20:00:00
2024020167,SJS,CHI,2024 October 31 22:30:00
2024020168,DAL,FLA,2024 November 01 14:00:00
2024020169,BUF,NYI,2024 November 01 19:00:00
2024020170,NYR,OTT,2024 November 01 19:00:00
2024020171,CBJ,WPG,2024 November 01 19:00:00
