id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.4267754568429585,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.3091,0.1177,0.4268,0.9712,0.4555,0.1177,0.5732,1.2641,1.0,0.097,0.0507,0.023,0.011,1.0,0.903,0.5273,0.2639,0.14604769582523203,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.4267754568429585,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.3091,0.1177,0.4268,0.9712,0.4555,0.1177,0.5732,1.2641,1.0,0.097,0.0507,0.023,0.011,1.0,0.903,0.5273,0.2639,0.14604769582523203,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.4267754568429585,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.3091,0.1177,0.4268,0.9712,0.4555,0.1177,0.5732,1.2641,1.0,0.097,0.0507,0.023,0.011,1.0,0.903,0.5273,0.2639,0.14604769582523203,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.4267754568429585,0,0,PSTR,Period Start- Local time: 3:50 EDT,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.3091,0.1177,0.4268,0.9712,0.4555,0.1177,0.5732,1.2641,1.0,0.097,0.0507,0.023,0.011,1.0,0.903,0.5273,0.2639,0.14604769582523203,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.4267754568429585,0,0,FAC,CAR won Neu. Zone - CAR #11 STAAL vs NJD #13 HISCHIER,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.3091,0.1177,0.4268,0.9712,0.4555,0.1177,0.5732,1.2641,1.0,0.097,0.0507,0.023,0.011,1.0,0.903,0.5273,0.2639,0.14604769582523203,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,22,0.4275376186842102,0,0,SHOT,NJD ONGOAL - #7 HAMILTON  Wrist   Off. Zone  60 ft. ,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.3082,0.1193,0.4275,0.9744,0.4531,0.1193,0.5725,1.2643,1.0,0.0971,0.0508,0.0231,0.011,1.0,0.9029,0.5272,0.2639,0.1460119924366184,44,-41,44,-41,-42.337,42.337,0.0,0,60.9,WRIST,0,0,0,0,2.7337045370463446,0,0,60.1,0.0,0.0,FAC,AWAY,0,0,0,0,0.00723523,LD,5,5,0.0072,0.0,0.0072,0.0,0.0069,0.0,0.0072,0.0,0.0069,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0072,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,HOME,,3,0.9928,0.0072,0.0,0.0069,0.0,0.0,0.0,0.0072,0.0,1.0,0.0,1.0,0.0,0.5,0.5,R,22,44.0,-41.0,0.2154,0.0276,0.4415,0.2852,0.0231,0.7225,60.877,0.0,0.0052,0.0125,0.012,0.0,0.012,0.0,0.012,0.0
7,23,0.42757192999195137,0,0,HIT,CAR #5 CHATFIELD HIT NJD #7 HAMILTON  Neu. Zone,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.3082,0.1194,0.4276,0.9745,0.453,0.1194,0.5724,1.2643,1.0,0.0971,0.0508,0.0231,0.011,1.0,0.9029,0.5272,0.2639,0.14601038784018558,51,-35,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,44,-41,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0072,0.0,0.0072,0.0,0.0069,0.0,0.0072,0.0,0.0069,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0072,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,AWAY,,4,1.0,0.0072,0.0,0.0069,0.0,0.0,0.0,0.0072,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.012,0.0,0.012,0.0
8,27,0.42770888953104813,0,0,SHOT,NJD ONGOAL - #13 HISCHIER  Tip-In   Off. Zone  10 ft. ,1.0,0,0,0,0,0.5,0.5,0.0,1.0,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.308,0.1197,0.4277,0.9751,0.4526,0.1197,0.5723,1.2643,1.0,0.0972,0.0508,0.0231,0.0111,1.0,0.9028,0.5272,0.2639,0.1460039851863711,82,-8,82,-8,-48.8141,48.8141,0.0,0,10.6,TIP,0,0,0,0,10.277402395547233,51,-35,41.1,0.0,0.0,HIT,AWAY,0,0,0,0,0.0775508,C,5,5,0.0848,0.0,0.0848,0.0,0.081,0.0,0.0848,0.0,0.081,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0031,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0031,0.0,0.0848,0.0,0.0,0.0,0.003,0.0,0.003,0.0,1.0,0.0,1.0,0.0,HOME,,5,0.9224,0.0848,0.0,0.081,0.0,0.0,0.0,0.0848,0.0,1.0,0.0,1.0,0.0,0.5,0.5,L,27,82.0,-8.0,0.1257,0.0563,0.4342,0.2843,0.0219,0.6326,10.63,0.0,0.012,0.0896,0.102,0.0,0.102,0.0,0.097,0.0
9,28,0.42774305817887415,0,0,HIT,CAR #7 ORLOV HIT NJD #28 MEIER  Neu. Zone,1.0,0,0,0,0,0.5,0.5,0.0,1.0,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.308,0.1198,0.4277,0.9753,0.4525,0.1198,0.5723,1.2643,1.0,0.0972,0.0508,0.0231,0.0111,1.0,0.9028,0.5272,0.2639,0.14600238844659308,64,-38,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,82,-8,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0848,0.0,0.0848,0.0,0.081,0.0,0.0848,0.0,0.081,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.003,0.0,0.0848,0.0,0.0,0.0,0.0029,0.0,0.0029,0.0,1.0,0.0,1.0,0.0,AWAY,,6,1.0,0.0848,0.0,0.081,0.0,0.0,0.0,0.0848,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.102,0.0,0.097,0.0
10,47,0.4283869048184272,0,0,BLOCK,CAR #53 BLAKE OPPONENT-BLOCKED BY NJD #7 HAMILTON  Wrist  Def. Zone ,0.6666666666666666,0,0,0,0,0.5,0.5,0.0,1.0,0,Sunday  April 27  2025,0.3091,0.1177,0.4268,0.4555,0.1177,0.5732,0.3072,0.1211,0.4284,0.9779,0.4505,0.1211,0.5716,1.2644,1.0,0.0973,0.0509,0.0231,0.0111,1.0,0.9027,0.5271,0.2638,0.14597234576944898,-67,-15,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,64,-38,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0848,0.0,0.0848,0.0,0.081,0.0,0.0848,0.0,0.081,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0018,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0018,0.0,0.0848,0.0,0.0,0.0,0.0017,0.0,0.0017,0.0,1.0,0.0,1.0,0.0,AWAY,,7,1.0,0.0848,0.0,0.081,0.0,0.0,0.0,0.0848,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.102,0.0,0.097,0.0
