id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.48695077169346834,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.3633,0.1237,0.487,1.0976,0.3894,0.1237,0.513,1.1498,1.0,0.7629,0.4152,0.2225,0.1093,1.0,0.2371,0.1317,0.0731,0.037576288743546155,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.48695077169346834,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.3633,0.1237,0.487,1.0976,0.3894,0.1237,0.513,1.1498,1.0,0.7629,0.4152,0.2225,0.1093,1.0,0.2371,0.1317,0.0731,0.037576288743546155,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.48695077169346834,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.3633,0.1237,0.487,1.0976,0.3894,0.1237,0.513,1.1498,1.0,0.7629,0.4152,0.2225,0.1093,1.0,0.2371,0.1317,0.0731,0.037576288743546155,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.48695077169346834,0,0,PSTR,Period Start- Local time: 8:50 CDT,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.3633,0.1237,0.487,1.0976,0.3894,0.1237,0.513,1.1498,1.0,0.7629,0.4152,0.2225,0.1093,1.0,0.2371,0.1317,0.0731,0.037576288743546155,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.48695077169346834,0,0,FAC,DAL won Neu. Zone - COL #29 MACKINNON vs DAL #53 JOHNSTON,0.5,0,0,0,0,0.5,0.5,1.0,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.3633,0.1237,0.487,1.0976,0.3894,0.1237,0.513,1.1498,1.0,0.7629,0.4152,0.2225,0.1093,1.0,0.2371,0.1317,0.0731,0.037576288743546155,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9,0.6924159454386856,1,0,GOAL,DAL #53 JOHNSTON(1)  Snap   Off. Zone  17 ft.<br>Assists: #63 DADONOV(1); #44 CECI(2) ,1.0,0,0,0,0,0.741314465,0.5,1.0,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.607,0.0854,0.6924,1.4703,0.2222,0.0854,0.3076,0.7006,1.0,0.8576,0.4652,0.2499,0.1224,1.0,0.1424,0.0791,0.0439,0.02253906783158164,-89,17,88,-17,-86.6335,86.6335,0.0,0,17.0,SNAP,0,0,0,0,10.067672257843817,0,0,90.6,0.0,0.0,FAC,HOME,0,0,0,0,0.059507,C,5,5,0.0595,0.0,0.0595,0.0,0.0594,0.0,0.0595,0.0,0.0594,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0066,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0066,0.0,0.0595,0.0,0.0,0.0,0.0066,0.0,0.0066,0.0,1.0,0.0,1.0,0.0,HOME,,3,0.9405,0.0595,0.0,0.0594,0.0,0.0,0.0,0.0595,0.0,1.0,0.0,1.0,0.0,0.5,0.5,R,9,-88.0,17.0,0.1441,0.0515,0.4154,0.3061,0.0235,0.7292,17.0,0.0,0.0104,0.0699,0.07,0.0,0.07,0.0,0.07,0.0
7,9,0.6924159454386856,1,0,FAC,DAL won Neu. Zone - COL #29 MACKINNON vs DAL #53 JOHNSTON,1.0,0,0,0,0,0.741314465,0.5,1.0,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.607,0.0854,0.6924,1.4703,0.2222,0.0854,0.3076,0.7006,1.0,0.8576,0.4652,0.2499,0.1224,1.0,0.1424,0.0791,0.0439,0.02253906783158164,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-89,17,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0595,0.0,0.0595,0.0,0.0594,0.0,0.0595,0.0,0.0594,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0066,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0066,0.0,0.0595,0.0,0.0,0.0,0.0066,0.0,0.0066,0.0,1.0,0.0,1.0,0.0,HOME,,4,1.0,0.0595,0.0,0.0594,0.0,0.0,0.0,0.0595,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.07,0.0
8,16,0.6921210476495125,1,0,STOP,ICING,1.0,0,0,0,0,0.741314465,0.5,1.0,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.606,0.0861,0.6921,1.4703,0.2218,0.0861,0.3079,0.7019,1.0,0.8575,0.4651,0.2499,0.1223,1.0,0.1425,0.0791,0.0439,0.022561263885455485,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0595,0.0,0.0595,0.0,0.0594,0.0,0.0595,0.0,0.0594,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0037,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0037,0.0,0.0595,0.0,0.0,0.0,0.0037,0.0,0.0037,0.0,1.0,0.0,1.0,0.0,ICIN,,4,1.0,0.0595,0.0,0.0594,0.0,0.0,0.0,0.0595,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.07,0.0
9,16,0.6921210476495125,1,0,FAC,DAL won Def. Zone - COL #29 MACKINNON vs DAL #14 BENN,0.5,0,0,0,0,0.741314465,0.5,1.0,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.606,0.0861,0.6921,1.4703,0.2218,0.0861,0.3079,0.7019,1.0,0.8575,0.4651,0.2499,0.1223,1.0,0.1425,0.0791,0.0439,0.022561263885455485,69,-22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0595,0.0,0.0595,0.0,0.0594,0.0,0.0595,0.0,0.0594,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0037,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0037,0.0,0.0595,0.0,0.0,0.0,0.0037,0.0,0.0037,0.0,1.0,0.0,1.0,0.0,HOME,,5,1.0,0.0595,0.0,0.0594,0.0,0.0,0.0,0.0595,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.07,0.0
10,19,0.6919964131976158,1,0,GIVE,DAL GIVEAWAY - #23 LINDELL  Def. Zone,0.3333333333333333,0,0,0,0,0.741314465,0.5,1.0,0.5,0,Monday  April 28  2025,0.3633,0.1237,0.487,0.3894,0.1237,0.513,0.6056,0.0864,0.692,1.4704,0.2216,0.0864,0.308,0.7024,1.0,0.8574,0.4651,0.2499,0.1223,1.0,0.1426,0.0792,0.0439,0.02257064490236706,88,-29,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,69,-22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0595,0.0,0.0595,0.0,0.0594,0.0,0.0595,0.0,0.0594,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0031,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0031,0.0,0.0595,0.0,0.0,0.0,0.0031,0.0,0.0031,0.0,1.0,0.0,1.0,0.0,HOME,,5,1.0,0.0595,0.0,0.0594,0.0,0.0,0.0,0.0595,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.07,0.0
