id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.5554879701604185,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.436,0.1195,0.5555,1.2304,0.3251,0.1195,0.4445,1.0085,1.0,0.6694,0.3315,0.1535,0.0722,1.0,0.3306,0.1558,0.0716,0.03210493375188265,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.5554879701604185,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.436,0.1195,0.5555,1.2304,0.3251,0.1195,0.4445,1.0085,1.0,0.6694,0.3315,0.1535,0.0722,1.0,0.3306,0.1558,0.0716,0.03210493375188265,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.5554879701604185,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.436,0.1195,0.5555,1.2304,0.3251,0.1195,0.4445,1.0085,1.0,0.6694,0.3315,0.1535,0.0722,1.0,0.3306,0.1558,0.0716,0.03210493375188265,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.5554879701604185,0,0,PSTR,Period Start- Local time: 7:22 PDT,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.436,0.1195,0.5555,1.2304,0.3251,0.1195,0.4445,1.0085,1.0,0.6694,0.3315,0.1535,0.0722,1.0,0.3306,0.1558,0.0716,0.03210493375188265,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.5554879701604185,0,0,FAC,EDM won Neu. Zone - EDM #97 MCDAVID vs LAK #24 DANAULT,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.436,0.1195,0.5555,1.2304,0.3251,0.1195,0.4445,1.0085,1.0,0.6694,0.3315,0.1535,0.0722,1.0,0.3306,0.1558,0.0716,0.03210493375188265,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,0.5553546788974228,0,0,HIT,LAK #37 FOEGELE HIT EDM #2 BOUCHARD  Neu. Zone,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.4355,0.1198,0.5554,1.2305,0.3248,0.1198,0.4446,1.0091,1.0,0.6693,0.3315,0.1535,0.0722,1.0,0.3307,0.1558,0.0716,0.0321088129349699,-27,-38,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.5553015209885885,0,0,HIT,EDM #97 MCDAVID HIT LAK #44 ANDERSON  Neu. Zone,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.4353,0.12,0.5553,1.2306,0.3247,0.12,0.4447,1.0094,1.0,0.6693,0.3315,0.1535,0.0722,1.0,0.3307,0.1558,0.0716,0.03211036032201509,30,-39,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-27,-38,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,14,0.5551161777183444,0,0,MISS,EDM #28 BROWN  Tip-In  Wide Left  Off. Zone  20 ft. ,0.0,0,0,0,0,0.5,0.5,0.0,0.0,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.4346,0.1205,0.5551,1.2308,0.3244,0.1205,0.4449,1.0103,1.0,0.6693,0.3314,0.1535,0.0722,1.0,0.3307,0.1558,0.0716,0.03211575700999458,70,8,70,8,22.8337,22.8337,0.0,0,20.6,TIP,0,0,0,0,8.816728070976842,30,-39,61.7,0.0,0.0,HIT,AWAY,0,0,0,0,0.0573666,R,5,5,0.0,0.0574,0.0,0.0574,0.0,0.0602,0.0,0.0574,0.0,0.0602,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0041,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0041,0.0,0.0574,0.0,0.0,0.0,0.0043,0.0,0.0043,0.0,1.0,0.0,1.0,AWAY,,3,0.9426,0.0,0.0574,0.0,0.0602,0.0,0.0,0.0,0.0574,0.0,1.0,0.0,1.0,0.5,0.5,R,14,70.0,8.0,0.0982,0.0443,0.4636,0.3098,0.0267,0.4266,20.616,0.0,0.0093,0.0666,0.0,0.067,0.0,0.067,0.0,0.07
9,23,0.5548794882234742,0,0,GIVE,EDM GIVEAWAY - #97 MCDAVID  Off. Zone,0.0,0,0,0,0,0.5,0.5,0.0,0.0,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.4337,0.1212,0.5549,1.231,0.3239,0.1212,0.4451,1.0114,1.0,0.6692,0.3314,0.1535,0.0722,1.0,0.3308,0.1558,0.0716,0.032122652154016926,98,-1,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,70,8,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0574,0.0,0.0574,0.0,0.0602,0.0,0.0574,0.0,0.0602,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0025,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0025,0.0,0.0574,0.0,0.0,0.0,0.0026,0.0,0.0026,0.0,1.0,0.0,1.0,AWAY,,3,0.9426,0.0,0.0574,0.0,0.0602,0.0,0.0,0.0,0.0574,0.0,1.0,0.0,1.0,0.5,0.5,,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.067,0.0,0.07
10,53,0.5541033383211431,0,0,SHOT,EDM ONGOAL - #33 ARVIDSSON  Snap   Off. Zone  42 ft. ,0.0,0,0,0,0,0.5,0.5,0.0,0.0,0,Monday  April 21  2025,0.436,0.1195,0.5555,0.3251,0.1195,0.4445,0.4307,0.1234,0.5541,1.2316,0.3225,0.1234,0.4459,1.0152,1.0,0.669,0.3313,0.1534,0.0722,1.0,0.331,0.156,0.0716,0.03214529020387951,69,38,69,38,62.2415,62.2415,0.0,0,42.9,SNAP,0,0,0,0,1.6200137173630489,98,-1,48.6,0.0,0.0,GIVE,AWAY,0,0,0,0,0.0164304,L,5,5,0.0,0.0738,0.0,0.0738,0.0,0.0774,0.0,0.0738,0.0,0.0774,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0014,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0014,0.0,0.0738,0.0,0.0,0.0,0.0015,0.0,0.0015,0.0,1.0,0.0,1.0,AWAY,,4,0.9836,0.0,0.0738,0.0,0.0774,0.0,0.0,0.0,0.0738,0.0,1.0,0.0,1.0,0.5,0.5,R,53,69.0,38.0,0.215,0.0284,0.4173,0.3055,0.0175,0.7797,42.942,0.0,0.0058,0.0222,0.0,0.089,0.0,0.089,0.0,0.093
