id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.6290617313220634,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.517,0.1121,0.6291,1.3702,0.2588,0.1121,0.3709,0.854,1.0,0.8519,0.452,0.2395,0.1196,1.0,0.1481,0.0488,0.0184,0.006676888836202857,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6290617313220634,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.517,0.1121,0.6291,1.3702,0.2588,0.1121,0.3709,0.854,1.0,0.8519,0.452,0.2395,0.1196,1.0,0.1481,0.0488,0.0184,0.006676888836202857,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.6290617313220634,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.517,0.1121,0.6291,1.3702,0.2588,0.1121,0.3709,0.854,1.0,0.8519,0.452,0.2395,0.1196,1.0,0.1481,0.0488,0.0184,0.006676888836202857,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.6290617313220634,0,0,PSTR,Period Start- Local time: 8:52 CDT,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.517,0.1121,0.6291,1.3702,0.2588,0.1121,0.3709,0.854,1.0,0.8519,0.452,0.2395,0.1196,1.0,0.1481,0.0488,0.0184,0.006676888836202857,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.6290617313220634,0,0,FAC,STL won Neu. Zone - STL #12 FAKSA vs WPG #7 NAMESTNIKOV,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.517,0.1121,0.6291,1.3702,0.2588,0.1121,0.3709,0.854,1.0,0.8519,0.452,0.2395,0.1196,1.0,0.1481,0.0488,0.0184,0.006676888836202857,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,23,0.6276933376622063,0,0,GIVE,STL GIVEAWAY - #26 WALKER  Off. Zone,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.514,0.1137,0.6277,1.3691,0.2586,0.1137,0.3723,0.8584,1.0,0.8513,0.4517,0.2394,0.1195,1.0,0.1487,0.049,0.0185,0.006701519922080287,39,-15,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,41,0.6266399264254445,0,0,SHOT,WPG ONGOAL - #13 VILARDI  Wrist   Off. Zone  33 ft. ,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.5117,0.115,0.6266,1.3683,0.2584,0.115,0.3734,0.8617,1.0,0.8509,0.4514,0.2392,0.1194,1.0,0.1491,0.0491,0.0185,0.006720481324341998,-61,17,61,-17,-31.2637,31.2637,0.0,0,32.8,WRIST,0,0,0,0,5.833068777069639,39,-15,105.0,0.0,0.0,GIVE,AWAY,0,0,0,0,0.0332939,C,5,5,0.0333,0.0,0.0333,0.0,0.0318,0.0,0.0333,0.0,0.0318,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0008,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0008,0.0,0.0333,0.0,0.0,0.0,0.0008,0.0,0.0008,0.0,1.0,0.0,1.0,0.0,HOME,,4,0.9667,0.0333,0.0,0.0318,0.0,0.0,0.0,0.0333,0.0,1.0,0.0,1.0,0.0,0.5,0.5,R,41,-59.0,18.0,0.2241,0.0356,0.4001,0.2855,0.0215,0.7407,35.0,0.0,0.007,0.0403,0.04,0.0,0.04,0.0,0.038,0.0
8,45,0.6264078818440465,0,0,GIVE,STL GIVEAWAY - #17 FOWLER  Def. Zone,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.5111,0.1153,0.6264,1.3681,0.2583,0.1153,0.3736,0.8624,1.0,0.8508,0.4514,0.2392,0.1194,1.0,0.1492,0.0491,0.0185,0.0067246581268071625,-98,3,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-61,17,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0333,0.0,0.0333,0.0,0.0318,0.0,0.0333,0.0,0.0318,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0007,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0007,0.0,0.0333,0.0,0.0,0.0,0.0007,0.0,0.0007,0.0,1.0,0.0,1.0,0.0,AWAY,,4,0.9667,0.0333,0.0,0.0318,0.0,0.0,0.0,0.0333,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.038,0.0
9,53,0.6259459962819532,0,0,GIVE,WPG GIVEAWAY - #13 VILARDI  Off. Zone,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.5101,0.1158,0.6259,1.3677,0.2583,0.1158,0.3741,0.8639,1.0,0.8506,0.4513,0.2392,0.1194,1.0,0.1494,0.0492,0.0186,0.00673297206692484,-94,9,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-98,3,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0333,0.0,0.0333,0.0,0.0318,0.0,0.0333,0.0,0.0318,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0006,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0006,0.0,0.0333,0.0,0.0,0.0,0.0006,0.0,0.0006,0.0,1.0,0.0,1.0,0.0,HOME,,4,0.9667,0.0333,0.0,0.0318,0.0,0.0,0.0,0.0333,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,53,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.038,0.0
10,62,0.6254298545428001,0,0,HIT,STL #89 BUCHNEVICH HIT WPG #44 MORRISSEY  Neu. Zone,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  April 30  2025,0.517,0.1121,0.6291,0.2588,0.1121,0.3709,0.509,0.1164,0.6254,1.3673,0.2582,0.1164,0.3746,0.8655,1.0,0.8504,0.4512,0.2391,0.1193,1.0,0.1496,0.0493,0.0186,0.006742262618229596,97,7,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-94,9,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0333,0.0,0.0333,0.0,0.0318,0.0,0.0333,0.0,0.0318,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0005,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0005,0.0,0.0333,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0,1.0,0.0,1.0,0.0,AWAY,,5,1.0,0.0333,0.0,0.0318,0.0,0.0,0.0,0.0333,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.038,0.0
