id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.6418336630339336,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.531,0.1108,0.6418,1.3945,0.2473,0.1108,0.3582,0.8271,1.0,1.0,0.9214,0.4555,0.2523,1.0,1.0,0.0786,0.0313,0.013883386943856223,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6418336630339336,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.531,0.1108,0.6418,1.3945,0.2473,0.1108,0.3582,0.8271,1.0,1.0,0.9214,0.4555,0.2523,1.0,1.0,0.0786,0.0313,0.013883386943856223,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.6418336630339336,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.531,0.1108,0.6418,1.3945,0.2473,0.1108,0.3582,0.8271,1.0,1.0,0.9214,0.4555,0.2523,1.0,1.0,0.0786,0.0313,0.013883386943856223,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.6418336630339336,0,0,PSTR,Period Start- Local time: 7:10 EDT,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.531,0.1108,0.6418,1.3945,0.2473,0.1108,0.3582,0.8271,1.0,1.0,0.9214,0.4555,0.2523,1.0,1.0,0.0786,0.0313,0.013883386943856223,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.6418336630339336,0,0,FAC,CAR won Neu. Zone - WSH #17 STROME vs CAR #11 STAAL,0.5,0,0,0,0,0.5,0.5,1.0,0.5,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.531,0.1108,0.6418,1.3945,0.2473,0.1108,0.3582,0.8271,1.0,1.0,0.9214,0.4555,0.2523,1.0,1.0,0.0786,0.0313,0.013883386943856223,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14,0.640920351463188,0,0,HIT,WSH #43 WILSON HIT CAR #7 ORLOV  Neu. Zone,0.5,0,0,0,0,0.5,0.5,1.0,0.5,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.5291,0.1118,0.6409,1.3937,0.2473,0.1118,0.3591,0.83,1.0,1.0,0.9212,0.4554,0.2523,1.0,1.0,0.0788,0.0314,0.01391593357323786,-1,-34,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,39,0.6393146013078048,0,0,SHOT,WSH ONGOAL - #24 MCMICHAEL  Backhand   Off. Zone  15 ft. ,0.0,0,0,0,0,0.5,0.5,1.0,0.0,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.5258,0.1135,0.6393,1.3922,0.2471,0.1135,0.3607,0.8349,1.0,1.0,0.9209,0.4552,0.2522,1.0,1.0,0.0791,0.0316,0.013973247280409646,76,-9,76,-9,-34.6952,34.6952,0.0,0,15.8,BACK,0,0,0,0,3.2382711436814553,-1,-34,81.0,0.0,0.0,HIT,AWAY,0,0,0,0,0.0716316,C,5,5,0.0,0.0716,0.0,0.0716,0.0,0.0752,0.0,0.0716,0.0,0.0752,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0018,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0018,0.0,0.0716,0.0,0.0,0.0,0.0019,0.0,0.0019,0.0,1.0,0.0,1.0,AWAY,,3,0.9284,0.0,0.0716,0.0,0.0752,0.0,0.0,0.0,0.0716,0.0,1.0,0.0,1.0,0.5,0.5,L,39,76.0,-9.0,0.2088,0.0403,0.3927,0.2694,0.0172,0.8137,16.0,0.0,0.009,0.0806,0.0,0.081,0.0,0.081,0.0,0.085
8,47,0.6388074368599654,0,0,MISS,CAR #37 SVECHNIKOV  Wrist  High and Wide Right  Off. Zone  31 ft. ,0.5,0,0,0,0,0.5,0.5,1.0,0.0,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.5247,0.1141,0.6388,1.3917,0.2471,0.1141,0.3612,0.8365,1.0,1.0,0.9207,0.4551,0.2521,1.0,1.0,0.0793,0.0316,0.013991374325540526,-75,29,75,-29,-64.2307,64.2307,0.0,0,32.2,WRIST,0,0,0,0,19.463507520485614,76,-9,155.7,0.0,0.0,SHOT,AWAY,0,0,0,0,0.024392,R,5,5,0.0244,0.0716,0.0244,0.0716,0.0233,0.0752,0.0244,0.0716,0.0233,0.0752,0.0,0.0,0.25,0.75,0.254,0.746,0.24,0.76,0.0005,0.0015,0.5,0.5,0.0,0.0,0.5,0.5,0.254,0.746,0.2366,0.7634,0.0005,0.0015,0.0244,0.0716,0.0,0.0,0.0005,0.0016,0.0005,0.0016,0.2366,0.7634,0.2366,0.7634,HOME,,4,0.9756,0.0244,0.0716,0.0233,0.0752,0.0,0.0,0.0244,0.0716,0.25,0.75,0.24,0.76,0.5,0.5,L,47,-75.0,29.0,0.2081,0.0421,0.4203,0.2818,0.0234,0.8131,32.0,0.0,0.0089,0.0333,0.033,0.081,0.033,0.081,0.032,0.085
9,56,0.6382406748691,0,0,BLOCK,CAR #8 BURNS OPPONENT-BLOCKED BY WSH #21 PROTAS  Snap  Def. Zone ,0.6666666666666666,0,0,0,0,0.5,0.5,1.0,0.0,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.5236,0.1147,0.6382,1.3912,0.2471,0.1147,0.3618,0.8382,1.0,1.0,0.9206,0.4551,0.2521,1.0,1.0,0.0794,0.0316,0.014011646021803732,-68,15,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-75,29,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0244,0.0716,0.0244,0.0716,0.0233,0.0752,0.0244,0.0716,0.0233,0.0752,0.0,0.0,0.25,0.75,0.254,0.746,0.24,0.76,0.0004,0.0013,0.5,0.5,0.0,0.0,0.5,0.5,0.254,0.746,0.2366,0.7634,0.0004,0.0013,0.0244,0.0716,0.0,0.0,0.0004,0.0013,0.0004,0.0013,0.2366,0.7634,0.2366,0.7634,HOME,,4,0.9756,0.0244,0.0716,0.0233,0.0752,0.0,0.0,0.0244,0.0716,0.25,0.75,0.24,0.76,0.5,0.5,,56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.081,0.033,0.081,0.032,0.085
10,66,0.6376155997299129,0,0,MISS,WSH #21 PROTAS  Snap  Hit Right Post  Off. Zone  37 ft. ,0.5,0,0,0,0,0.5,0.5,1.0,0.0,0,Monday  May 12  2025,0.531,0.1108,0.6418,0.2473,0.1108,0.3582,0.5223,0.1153,0.6376,1.3906,0.247,0.1153,0.3624,0.8401,1.0,1.0,0.9205,0.455,0.252,1.0,1.0,0.0795,0.0317,0.014034021489696479,54,-12,54,-12,-18.9246,18.9246,18.9246,0,37.0,SNAP,0,0,1.8924644416051233,0,12.495199078045935,-68,15,125.0,0.0,0.0,BLOCK,HOME,0,0,0,0,0.0499706,C,5,5,0.0244,0.1216,0.0244,0.1216,0.0233,0.1276,0.0244,0.1216,0.0233,0.1276,0.0,0.0,0.17,0.83,0.1671,0.8329,0.15,0.85,0.0004,0.0018,0.5,0.5,0.0,0.0,0.5,0.5,0.1671,0.8329,0.1544,0.8456,0.0004,0.0018,0.0244,0.1216,0.0,0.0,0.0004,0.0019,0.0004,0.0019,0.1544,0.8456,0.1544,0.8456,AWAY,,5,0.95,0.0244,0.1216,0.0233,0.1276,0.0,0.0,0.0244,0.1216,0.17,0.83,0.15,0.85,0.5,0.5,L,66,53.0,-12.0,0.1826,0.0356,0.3759,0.3335,0.0224,0.7367,38.0,0.0367,0.0068,0.0568,0.033,0.137,0.033,0.137,0.032,0.144
