id,homeAbbrev,awayAbbrev,est
2021020001,TBL,PIT,2021 October 12 19:30:00
2021020002,VGK,SEA,2021 October 12 22:00:00
2021020003,TOR,MTL,2021 October 13 19:00:00
2021020004,WSH,NYR,2021 October 13 19:30:00
2021020005,COL,CHI,2021 October 13 22:00:00
2021020006,EDM,VAN,2021 October 13 22:00:00
2021020007,BUF,MTL,2021 October 14 19:00:00
2021020008,OTT,TOR,2021 October 14 19:00:00
2021020009,DET,TBL,2021 October 14 19:30:00
2021020010,FLA,PIT,2021 October 14 19:00:00
2021020011,NYR,DAL,2021 October 14 19:00:00
2021020012,CAR,NYI,2021 October 14 19:00:00
2021020013,CBJ,ARI,2021 October 14 19:00:00
2021020014,NSH,SEA,2021 October 14 20:00:00
2021020015,ANA,WPG,2021 October 13 22:00:00
2021020016,LAK,VGK,2021 October 14 22:30:00
2021020017,NJD,CHI,2021 October 15 19:00:00
2021020018,PHI,VAN,2021 October 15 19:00:00
2021020019,ANA,MIN,2021 October 15 22:00:00
2021020020,BOS,DAL,2021 October 16 19:00:00
2021020021,BUF,ARI,2021 October 16 13:00:00
2021020022,TOR,OTT,2021 October 16 19:00:00
2021020023,MTL,NYR,2021 October 16 19:00:00
2021020024,DET,VAN,2021 October 16 19:00:00
2021020025,FLA,NYI,2021 October 16 18:00:00
2021020026,PIT,CHI,2021 October 16 19:00:00
2021020027,WSH,TBL,2021 October 16 19:00:00
2021020028,CBJ,SEA,2021 October 16 19:00:00
2021020029,NSH,CAR,2021 October 16 20:00:00
2021020030,COL,STL,2021 October 16 21:00:00
2021020031,EDM,CGY,2021 October 16 22:00:00
2021020032,LAK,MIN,2021 October 16 22:30:00
2021020033,SJS,WPG,2021 October 16 22:00:00
2021020034,OTT,DAL,2021 October 17 17:00:00
2021020035,TOR,NYR,2021 October 18 19:00:00
2021020036,PHI,SEA,2021 October 18 19:00:00
2021020037,CGY,ANA,2021 October 18 21:30:00
2021020038,ARI,STL,2021 October 18 22:00:00
2021020039,BUF,VAN,2021 October 19 19:00:00
2021020040,MTL,SJS,2021 October 19 19:00:00
2021020041,DET,CBJ,2021 October 19 19:30:00
2021020042,TBL,FLA,2021 October 19 19:00:00
2021020043,NJD,SEA,2021 October 19 19:00:00
2021020044,PIT,DAL,2021 October 19 19:00:00
2021020045,WSH,COL,2021 October 19 19:00:00
2021020046,CHI,NYI,2021 October 19 20:00:00
2021020047,NSH,LAK,2021 October 19 20:00:00
2021020048,MIN,WPG,2021 October 19 20:00:00
2021020049,EDM,ANA,2021 October 19 21:00:00
2021020050,PHI,BOS,2021 October 20 19:30:00
2021020051,VGK,STL,2021 October 20 22:00:00
2021020052,MTL,CAR,2021 October 21 19:00:00
2021020053,OTT,SJS,2021 October 21 19:00:00
2021020054,DET,CGY,2021 October 21 19:30:00
2021020055,FLA,COL,2021 October 21 19:00:00
2021020056,NJD,WSH,2021 October 21 19:00:00
2021020057,CBJ,NYI,2021 October 21 19:00:00
2021020058,CHI,VAN,2021 October 21 20:30:00
2021020059,NSH,NYR,2021 October 21 20:00:00
2021020060,WPG,ANA,2021 October 21 20:00:00
2021020061,ARI,EDM,2021 October 21 22:00:00
2021020062,BUF,BOS,2021 October 22 19:00:00
2021020063,TOR,SJS,2021 October 22 18:00:00
2021020064,DAL,LAK,2021 October 22 20:30:00
2021020065,VGK,EDM,2021 October 22 22:00:00
2021020066,MTL,DET,2021 October 23 19:00:00
2021020067,OTT,NYR,2021 October 23 13:00:00
2021020068,TBL,COL,2021 October 23 19:00:00
2021020069,NJD,BUF,2021 October 23 19:00:00
2021020070,PHI,FLA,2021 October 23 19:00:00
2021020071,PIT,TOR,2021 October 23 19:00:00
2021020072,WSH,CGY,2021 October 23 13:00:00
2021020073,CBJ,CAR,2021 October 23 19:00:00
2021020074,STL,LAK,2021 October 23 20:00:00
2021020075,MIN,ANA,2021 October 23 18:00:00
2021020076,WPG,NSH,2021 October 23 19:00:00
2021020077,ARI,NYI,2021 October 23 21:00:00
2021020078,SEA,VAN,2021 October 23 22:00:00
2021020079,BOS,SJS,2021 October 24 13:00:00
2021020080,CHI,DET,2021 October 24 19:00:00
2021020081,MIN,NSH,2021 October 24 18:00:00
2021020082,VGK,NYI,2021 October 24 22:00:00
2021020083,BUF,TBL,2021 October 25 19:00:00
2021020084,OTT,WSH,2021 October 25 19:00:00
2021020085,FLA,ARI,2021 October 25 19:00:00
2021020086,NYR,CGY,2021 October 25 19:00:00
2021020087,CAR,TOR,2021 October 25 19:00:00
2021020088,CBJ,DAL,2021 October 25 19:00:00
2021020089,STL,LAK,2021 October 25 20:00:00
2021020090,NJD,CGY,2021 October 26 19:00:00
2021020091,PIT,TBL,2021 October 26 19:00:00
2021020092,NSH,SJS,2021 October 26 20:30:00
