id,teamFullName,city,teamName,teamAbbrev,firstSeasonID
32,Anaheim Ducks,Anaheim,Ducks,ANA,19931994
6,Boston Bruins,Boston,Bruins,BOS,19241925
19,Buffalo Sabres,Buffalo,Sabres,BUF,19701971
21,Calgary Flames,Calgary,Flames,CGY,19721973
26,Carolina Hurricanes,Carolina,Hurricanes,CAR,19791980
11,Chicago Blackhawks,Chicago,Blackhawks,CHI,19261927
27,Colorado Avalanche,Colorado,Avalanche,COL,19791980
36,Columbus Blue Jackets,Columbus,Blue Jackets,CBJ,20002001
15,Dallas Stars,Dallas,Stars,DAL,19671968
12,Detroit Red Wings,Detroit,Red Wings,DET,19261927
25,Edmonton Oilers,Edmonton,Oilers,EDM,19791980
33,Florida Panthers,Florida,Panthers,FLA,19931994
14,Los Angeles Kings,Los Angeles,Kings,LAK,19671968
37,Minnesota Wild,Minnesota,Wild,MIN,20002001
1,Montréal Canadiens,Montréal,Canadiens,MTL,19171918
34,Nashville Predators,Nashville,Predators,NSH,19981999
23,New Jersey Devils,New Jersey,Devils,NJD,19741975
22,New York Islanders,New York,Islanders,NYI,19721973
10,New York Rangers,New York,Rangers,NYR,19261927
30,Ottawa Senators,Ottawa,Senators,OTT,19921993
16,Philadelphia Flyers,Philadelphia,Flyers,PHI,19671968
17,Pittsburgh Penguins,Pittsburgh,Penguins,PIT,19671968
29,San Jose Sharks,San Jose,Sharks,SJS,19911992
39,Seattle Kraken,Seattle,Kraken,SEA,20212022
18,St. Louis Blues,St. Louis,Blues,STL,19671968
31,Tampa Bay Lightning,Tampa Bay,Lightning,TBL,19921993
5,Toronto Maple Leafs,Toronto,Maple Leafs,TOR,19171918
40,Utah Hockey Club,Utah,Hockey Club,UTA,20242025
20,Vancouver Canucks,Vancouver,Canucks,VAN,19701971
38,Vegas Golden Knights,Vegas,Golden Knights,VGK,20172018
24,Washington Capitals,Washington,Capitals,WSH,19741975
35,Winnipeg Jets,Winnipeg,Jets,WPG,19992000
