teamFullName,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonID,shotsAgainstPerGame,shotsForPerGame,faceoffWinPct,teamId,wins,winsInRegulation,winsInShootout
Anaheim Ducks,82,261,3.18292,217,2.64634,37,10,0.754032,0.741936,0.4878,80,0.090497,0.117647,31,20242025,32.29268,27.68292,0.446417,24,35,24,4
Boston Bruins,82,271,3.30487,222,2.70731,39,10,0.788135,0.762712,0.46341,76,0.095652,0.152173,33,20242025,28.60975,26.51219,0.516932,6,33,26,0
Buffalo Sabres,82,287,3.5,265,3.2317,39,7,0.804979,0.763486,0.4817,79,0.152838,0.187772,32,20242025,28.87804,27.78048,0.478296,7,36,29,4
Calgary Flames,82,236,2.87804,220,2.68292,27,14,0.792035,0.761062,0.58536,96,0.184549,0.2103,36,20242025,28.91463,29.43902,0.462442,20,41,31,5
Carolina Hurricanes,82,230,2.80487,266,3.2439,30,5,0.877049,0.836066,0.60365,99,0.166666,0.186991,47,20242025,24.92682,31.68292,0.527134,12,47,42,0
Chicago Blackhawks,82,292,3.56097,224,2.7317,46,11,0.819383,0.792952,0.37195,61,0.21164,0.248677,23,20242025,31.10975,24.45121,0.44756,16,25,20,2
Colorado Avalanche,82,231,2.81707,273,3.32926,29,4,0.822115,0.798077,0.62195,102,0.217948,0.247863,45,20242025,25.92682,29.89024,0.470775,21,49,40,4
Columbus Blue Jackets,82,267,3.25609,267,3.25609,33,9,0.811059,0.769586,0.54268,89,0.156756,0.194594,34,20242025,29.91463,29.04878,0.477787,29,40,30,6
Dallas Stars,82,222,2.70731,275,3.35365,26,6,0.855263,0.820176,0.64634,106,0.204,0.22,48,20242025,29.04878,28.35365,0.521353,25,50,41,2
Detroit Red Wings,82,259,3.15853,235,2.86585,35,8,0.711956,0.701087,0.52439,86,0.240506,0.270042,36,20242025,28.4878,27.41463,0.489738,17,39,30,3
Edmonton Oilers,82,235,2.86585,259,3.15853,29,5,0.805825,0.781554,0.61585,101,0.218604,0.237209,48,20242025,26.96341,31.9756,0.509074,22,48,36,0
Florida Panthers,82,223,2.71951,246,3.0,31,4,0.856557,0.807378,0.59756,98,0.193277,0.235294,41,20242025,26.19512,31.57317,0.493886,13,47,37,6
Los Angeles Kings,82,203,2.4756,249,3.03658,25,9,0.831223,0.814346,0.64024,105,0.149758,0.178743,47,20242025,25.5,28.08536,0.506218,26,48,43,1
Minnesota Wild,82,236,2.87804,225,2.7439,30,7,0.743842,0.724138,0.59146,97,0.18932,0.208737,42,20242025,29.60975,27.59756,0.46701,30,45,33,3
Montréal Canadiens,82,261,3.18292,243,2.96341,31,11,0.844357,0.809339,0.55487,91,0.175213,0.200854,38,20242025,29.04878,25.56097,0.507995,8,40,30,2
