Team Name,Home,Away,Total,PrevSun,BB,Rest,Weekday.Mon,Weekday.Tue,Weekday.Wed,Weekday.Thu,Weekday.Fri,Weekday.Sat,Weekday.Sun
Boston Bruins,3,1,4,0,1,3,1,0,1,1,0,1,0
Minnesota Wild,2,2,4,0,1,3,1,1,0,1,0,1,0
Nashville Predators,2,2,4,0,1,3,1,1,0,1,0,1,0
New York Rangers,2,2,4,1,1,3,0,1,0,1,0,1,1
Tampa Bay Lightning,2,2,4,0,1,3,1,1,0,1,0,1,0
Calgary Flames,2,2,4,0,2,3,0,1,1,1,0,1,0
Montréal Canadiens,1,3,4,0,2,3,0,1,1,1,0,1,0
Toronto Maple Leafs,3,1,4,0,2,3,1,1,1,0,0,1,0
Vegas Golden Knights,1,3,4,0,2,3,0,1,1,1,0,1,0
Washington Capitals,2,2,4,1,2,3,0,1,1,0,0,1,1
Anaheim Ducks,1,2,3,0,0,4,0,1,0,1,0,1,0
Buffalo Sabres,2,1,3,0,0,4,1,0,0,1,0,1,0
Carolina Hurricanes,2,1,3,0,0,4,0,1,0,1,0,1,0
Chicago Blackhawks,2,1,3,0,0,4,1,0,0,1,0,1,0
Colorado Avalanche,2,1,3,0,0,4,1,0,0,1,0,1,0
Columbus Blue Jackets,1,2,3,0,0,4,1,0,0,1,0,1,0
Dallas Stars,1,2,3,0,0,4,0,1,0,1,0,1,0
Detroit Red Wings,2,1,3,0,0,4,1,0,0,1,0,1,0
Florida Panthers,2,1,3,0,0,4,1,0,0,1,0,1,0
Los Angeles Kings,0,3,3,0,0,4,1,0,1,0,0,1,0
New Jersey Devils,0,3,3,0,0,4,1,0,0,1,0,1,0
New York Islanders,2,1,3,0,0,4,1,0,0,1,0,1,0
Ottawa Senators,1,2,3,0,0,4,1,0,0,1,0,1,0
Philadelphia Flyers,1,2,3,0,0,4,1,0,0,1,0,1,0
Pittsburgh Penguins,2,1,3,0,0,4,0,1,0,1,0,1,0
San Jose Sharks,3,0,3,0,0,4,0,1,0,1,0,1,0
Seattle Kraken,2,1,3,0,0,4,0,1,0,1,0,1,0
St. Louis Blues,1,2,3,0,0,4,1,0,0,1,0,1,0
Utah Mammoth,0,3,3,0,0,4,1,0,0,1,0,1,0
Vancouver Canucks,2,1,3,0,0,4,1,0,0,1,0,1,0
Winnipeg Jets,2,1,3,0,0,4,1,0,0,1,0,1,0
Edmonton Oilers,2,1,3,0,1,4,0,1,1,0,0,1,0
